Algorithm,TimeTaken,Nodes,Time/Node
dijkstra,0.0683,6077,0.00001123
dijkstra,0.0454,6077,0.00000747
dijkstra,0.0716,6078,0.00001178
dijkstra,0.0931,6078,0.00001532
dijkstra,0.0743,6079,0.00001221
dijkstra,0.0723,6079,0.00001190
dijkstra,0.0481,6079,0.00000791
dijkstra,0.0541,6080,0.00000890
dijkstra,0.0782,6080,0.00001286
dijkstra,0.0499,6080,0.00000820
dijkstra,0.0403,2773,0.00001453
dijkstra,0.0648,2909,0.00002226
dijkstra,0.0618,3037,0.00002037
dijkstra,0.0623,3151,0.00001977
dijkstra,0.0768,3269,0.00002349
dijkstra,0.0404,3269,0.00001236
dijkstra,0.0822,3269,0.00002515
dijkstra,0.0825,3374,0.00002445
dijkstra,0.0330,3374,0.00000979
dijkstra,0.0338,3374,0.00001001
dijkstra,0.0315,3374,0.00000934
dijkstra,0.0605,3374,0.00001794
dijkstra,0.0869,3480,0.00002496
dijkstra,0.0796,3564,0.00002232
dijkstra,0.0795,3564,0.00002231
dijkstra,0.0528,3652,0.00001446
dijkstra,0.0321,3652,0.00000878
dijkstra,0.0424,3652,0.00001162
dijkstra,0.0386,3652,0.00001057
dijkstra,0.0514,3652,0.00001407
dijkstra,0.0322,3652,0.00000882
dijkstra,0.0423,3749,0.00001128
dijkstra,0.0353,3749,0.00000941
dijkstra,0.0373,3749,0.00000996
dijkstra,0.0526,3749,0.00001402
dijkstra,0.0553,3749,0.00001475
dijkstra,0.0838,3749,0.00002236
dijkstra,0.0623,3749,0.00001663
dijkstra,0.0729,3749,0.00001944
dijkstra,0.0614,3749,0.00001637
dijkstra,0.0361,3843,0.00000940
dijkstra,0.0451,3843,0.00001173
dijkstra,0.0559,3843,0.00001454
dijkstra,0.0563,3843,0.00001465
dijkstra,0.0554,3936,0.00001406
dijkstra,0.0556,3936,0.00001413
dijkstra,0.0665,4027,0.00001650
dijkstra,0.0573,4027,0.00001423
dijkstra,0.0571,4027,0.00001418
dijkstra,0.0566,4027,0.00001405
dijkstra,0.0574,4125,0.00001391
dijkstra,0.0662,4125,0.00001605
dijkstra,0.0356,4125,0.00000862
dijkstra,0.0377,4191,0.00000900
dijkstra,0.0458,4191,0.00001093
dijkstra,0.0623,4191,0.00001486
dijkstra,0.0915,4321,0.00002119
dijkstra,0.0976,4457,0.00002190
dijkstra,0.0978,4457,0.00002195
dijkstra,0.1045,4587,0.00002278
dijkstra,0.1120,4691,0.00002388
dijkstra,0.1059,4820,0.00002197
dijkstra,0.1122,4944,0.00002270
dijkstra,0.1274,5065,0.00002515
dijkstra,0.1354,5065,0.00002674
dijkstra,0.0450,5196,0.00000866
dijkstra,0.1201,5196,0.00002312
dijkstra,0.0801,5196,0.00001542
dijkstra,0.0490,5196,0.00000942
dijkstra,0.0731,5196,0.00001406
dijkstra,0.0708,5196,0.00001363
dijkstra,0.0714,5196,0.00001375
dijkstra,0.0737,5196,0.00001418
dijkstra,0.0731,5196,0.00001406
dijkstra,0.0718,5196,0.00001382
dijkstra,0.0729,5196,0.00001402
dijkstra,0.0924,5196,0.00001777
dijkstra,0.0544,5196,0.00001047
dijkstra,0.0616,5196,0.00001186
dijkstra,0.0599,5196,0.00001153
dijkstra,0.0451,5196,0.00000868
dijkstra,0.0633,5196,0.00001219
dijkstra,0.0754,5196,0.00001451
dijkstra,0.0745,5196,0.00001434
dijkstra,0.0738,5196,0.00001419
dijkstra,0.0747,5196,0.00001437
dijkstra,0.0406,5196,0.00000782
dijkstra,0.0624,5196,0.00001202
dijkstra,0.1211,5196,0.00002331
dijkstra,0.0363,5196,0.00000700
dijkstra,0.0749,5196,0.00001441
dijkstra,0.0738,5196,0.00001420
dijkstra,0.0768,5196,0.00001478
dijkstra,0.0420,5196,0.00000809
dijkstra,0.0984,5196,0.00001894
dijkstra,0.1089,5196,0.00002096
dijkstra,0.0516,5196,0.00000993
dijkstra,0.0755,5196,0.00001453
dijkstra,0.0712,5196,0.00001371
dijkstra,0.0513,5196,0.00000987
dijkstra,0.1218,5196,0.00002344
dijkstra,0.1265,5196,0.00002434
dijkstra,0.0725,5196,0.00001396
dijkstra,0.1241,5196,0.00002389
dijkstra,0.1231,5196,0.00002369
dijkstra,0.0873,5196,0.00001681
dijkstra,0.0723,5196,0.00001392
dijkstra,0.0666,5196,0.00001282
dijkstra,0.0713,5196,0.00001372
dijkstra,0.0762,5196,0.00001467
dijkstra,0.0752,5196,0.00001447
dijkstra,0.1005,5196,0.00001934
dijkstra,0.0566,5196,0.00001090
dijkstra,0.0847,5196,0.00001630
dijkstra,0.0860,5196,0.00001655
dijkstra,0.0535,5196,0.00001030
dijkstra,0.0740,5196,0.00001425
dijkstra,0.0715,5196,0.00001377
dijkstra,0.1211,5196,0.00002331
dijkstra,0.0516,5196,0.00000994
dijkstra,0.1063,5196,0.00002045
dijkstra,0.1313,5196,0.00002527
dijkstra,0.0309,5196,0.00000594
dijkstra,0.0483,5196,0.00000929
dijkstra,0.0533,5196,0.00001026
dijkstra,0.0761,5196,0.00001465
dijkstra,0.0456,5196,0.00000877
dijkstra,0.0536,5196,0.00001032
dijkstra,0.0707,5196,0.00001360
dijkstra,0.0536,5196,0.00001031
dijkstra,0.0434,5196,0.00000835
dijkstra,0.0561,5196,0.00001080
dijkstra,0.0739,5196,0.00001422
dijkstra,0.0593,5196,0.00001141
dijkstra,0.0719,5196,0.00001385
dijkstra,0.0653,5196,0.00001257
dijkstra,0.0553,5196,0.00001064
dijkstra,0.0726,5196,0.00001397
dijkstra,0.0748,5196,0.00001440
dijkstra,0.0810,5196,0.00001559
dijkstra,0.0736,5196,0.00001417
dijkstra,0.0741,5196,0.00001427
dijkstra,0.0584,5196,0.00001124
dijkstra,0.0761,5196,0.00001464
dijkstra,0.0660,5196,0.00001269
dijkstra,0.0475,5196,0.00000915
dijkstra,0.0568,5196,0.00001092
dijkstra,0.0561,5196,0.00001080
dijkstra,0.0626,5196,0.00001205
dijkstra,0.0783,4878,0.00001604
dijkstra,0.0936,4878,0.00001919
dijkstra,0.1263,4878,0.00002589
dijkstra,0.1053,4878,0.00002159
dijkstra,0.0800,4877,0.00001641
dijkstra,0.0926,4877,0.00001900
dijkstra,0.0747,4877,0.00001531
dijkstra,0.1414,5024,0.00002815
dijkstra,0.0867,5096,0.00001701
dijkstra,0.0727,5096,0.00001427
dijkstra,0.1011,5096,0.00001984
dijkstra,0.0981,5096,0.00001926
dijkstra,0.0765,5096,0.00001501
dijkstra,0.0825,5096,0.00001620
dijkstra,0.0772,5096,0.00001515
dijkstra,0.0921,5096,0.00001807
dijkstra,0.1077,5096,0.00002114
dijkstra,0.0888,5096,0.00001743
dijkstra,0.1101,5096,0.00002161
dijkstra,0.1379,5096,0.00002706
dijkstra,0.1120,5096,0.00002198
dijkstra,0.5214,300,0.00173804
dijkstra,0.4878,300,0.00162610
astar,0.0747,48,0.00155550
dijkstra,0.0738,5332,0.00001383
dijkstra,0.0241,5397,0.00000447
dijkstra,0.0257,5492,0.00000467
dijkstra,0.0312,5593,0.00000557
dijkstra,0.0298,5680,0.00000525
dijkstra,0.0304,5680,0.00000535
dijkstra,0.0290,5680,0.00000511
dijkstra,0.0297,5755,0.00000516
dijkstra,0.0329,5755,0.00000572
